ASIN,Review_Title,Review_Content,Rating,Reviewer,Country,Review_Date,Review_Link,Sentiment,Motivation_Type
B0D8L5FG8W,,"This gauge set is pretty nice. The gauges themselves look good and are easy to read. The kit comes with all the sending units needed and after installation all the gauges were accurate enough to be helpful. The gps unit connects quickly and is also accurate, accurate enough to use on the street/highway without getting you a ticket. I have no complaints and am very happy with this kit.",5,Wes,US,2024-12-10,https://www.amazon.com/gp/customer-reviews/R2ZRZ1ED7WQNVB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,功能需求
B0C8N4XQG2,,Speedometer gps worked for Lee's than a hour . Emailed and no response.  Also tachometer jumps and is not correct even with filter and switch to right engine.  Sad should have keep my dolphin gauges,1,trey,US,2024-12-09,https://www.amazon.com/gp/customer-reviews/R1BW00SWYQ1ADL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,功能需求
B0D8L4LFCD,,"I'm rebuilding my powerboat and got these to replace the old meters, a couple of which had quit working.

Given some of the other reviews, I'm glad I got the set with the GPS speedometer. On the water, that's probably as accurate, or more so, than the analogue type. I needed a mechanic with some wiring skills to help out on a few others, but did most of it myself.

Some though the set looked ""cheap."" Not my experience! I think these are, and appear to be, better quality than many.

These would be great in a hot rod, or just to upgrade your stock vehicle.",5,Wilderness Family,US,2024-12-08,https://www.amazon.com/gp/customer-reviews/R2YTC23OIUEZ1O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,品質信任
B0C8J51W3P,,Good,4,Charles McMillan,US,2024-12-01,https://www.amazon.com/gp/customer-reviews/R2P4QK3D4KT6TS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,其他
B0D8L5FG8W,,These are very finicky at best. I can not recommend this gauge set.,1,MrMakesALotOfStuff,US,2024-11-29,https://www.amazon.com/gp/customer-reviews/R32BH6B5W5MTDM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,其他
B0D8L4LFCD,,"High Quality well made, fit and finish is top notch on these gauges. Got these for a frame off rebuild of a custom Scout and these fit great for my application. Everything  is electrical for the connection also included the connections for the fuel side. I will look to these guys again for more projects. Again great quality.",5,Ali,US,2024-11-29,https://www.amazon.com/gp/customer-reviews/R12XOD0159M91P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,品質信任
B0D8L4LFCD,,"I installed these the other day and they work perfect. Install was easy and straightforward, directions included. I put them in a boat and they seem to be working great. Time will tell.",5,E. Smith,US,2024-11-26,https://www.amazon.com/gp/customer-reviews/RFX1RYHXEW6F3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,其他
B0D8L5FG8W,,"You can definitely tell a quality difference between these gauges and others, but they do the job. They install easily. I don’t feel like they’re very accurate and do not feel like you get a solid read. The gauges tend to dance around making the quality difference obvious. I would not recommend if this is something you need accurate information  but for a general idea, it works well.",4,ERC,US,2024-11-18,https://www.amazon.com/gp/customer-reviews/R2UT9U6KP14P1F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,品質信任
B0D8L4LFCD,,Great gauges at a good price. Look great made of quality material. Easy to install. Bright lights and are accurate,5,Kayci Ochs,US,2024-11-17,https://www.amazon.com/gp/customer-reviews/R2BWOQ1CO1TJWV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B0D8L5FG8W,,"A very good looking set of gauges done in the classic white face style that always seemed more elegant than a black face gauge.  The kit is very well thought out including most everything you could need to install it.  You get a calibrated fuel tank sending unit to install in your fuel tank for an accurate gage reading. The oil pressure and water temperature gauges both include 1/8"" npt threaded sending units that fit most any American engines and can easily be used with thread adapters to fit other applications. The gauges install a lot easier than the old style gauges that used to use a metal bracket that had a couple of studs on the back of the gauge housing that you had to get to stay in place while trying to get it to hold the edge of the mounting hole, not very easy or secure. These gauges use a threaded body and pvc nut that makes it a breeze.  The GPS antenna is included for the speedometer and works well in most areas but as expected it did have issues in tunnels and parking garagesb where there is no GPS signal. The gauges is red led back lighting that keeps then bright enough to see well but not to bright where they light up the interior. A very nice modern set of classic looking gauges.",5,Jon T.,US,2024-11-13,https://www.amazon.com/gp/customer-reviews/R1UYIZ6GA1E5N0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,功能需求
B081JDPKSV,,Didn't work for me had to go original waste of money,2,bruce,US,2024-11-12,https://www.amazon.com/gp/customer-reviews/R27LQCFLMSO6S7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,其他
B0D8L4LFCD,,"It's a great set of budget gauges for a rat rod.
The instructions are ""meh"" and the fuel gauge requires an odd-ball marine sending unit.",4,Aliviana York 2.0,US,2024-11-04,https://www.amazon.com/gp/customer-reviews/R27O866FR800TP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,其他
B0D8L4LFCD,,"They are nicer looking in person, very responsive info relay!
And better value for the price than at an auto parts store.",4,Drew M.,US,2024-10-31,https://www.amazon.com/gp/customer-reviews/R351AP55QJS0DL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B081JDPKSV,,Exactly as viewed. Seems durable. Need more instruction,4,Tim Mantel,US,2024-10-29,https://www.amazon.com/gp/customer-reviews/R10K00R4DXI5VB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,品質信任
B0793N7B7P,,Look and feel like a quality product,5,Michael S.,US,2024-10-25,https://www.amazon.com/gp/customer-reviews/R2QTUWFO2JUN2P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,品質信任
B0D8L5FG8W,,"I liked the first set enough to now get this second set- but I think when it comes to reviewing them, one must factor the low price in to the whole picture. I feel that these are certainly nowhere near the quality of the gauges typically used in real race cars and high end customs, but they are just a small fraction of the price. For the price of a high end competition quality oil pressure gauge- I can get this whole set. Perfect for a budget build, boat, or dune buggy but I would never consider these for a quality restoration or a real race car other than a LeMons or hobby class basher.
For many, the GPS speedometer solves so many problems compared to working with vehicles which have transmission swaps and complicated electronic speed sensors... skip all that and just go GPS, and they're typically more accurate once in motion. I certainly don't think these will last as long as high end versions, but considering the replacement cost if one fails- it's still cheaper to replace these once in a while vs. the expense of high end ones.
In summary- I'd cringe if I saw these in an otherwise high-end build, but they are quite at home in budget builds, basher track cars, etc.
I've had no failures in either of the sets I've used, and the instructions aren't written for people who don't know what they're doing- but adequate enough for people who have experience working with instrumentation before. The backlighting is a little uneven, but if I get another set of these I will try the black version instead. This set went in a Triumph Spitfire that was gutted and wired just to be an autocross car.",3,Summit,US,2024-10-16,https://www.amazon.com/gp/customer-reviews/R98UK44BOQLLH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Neutral,價格敏感
B0D8L5FG8W,,"I like the way these mount for custom dashes. Drill a hole, slide it in, and screw it! Its not the highest quality but the price is fair, they look really good, we will see how it all goes.....",5,ihaveastory6132onutube,US,2024-10-12,https://www.amazon.com/gp/customer-reviews/R3GA7X1KOIUB9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B0D8L5FG8W,,"This set of gauges look really nice and the red illumination stands out. This set comes with temp sending unit, an oil pressure sending unit. And an adjustable fuel gauge sending unit. The speedo works with GPS for accurate speed sensing. This set will set your hot rod apart from others.",5,christa e mostoller,US,2024-10-08,https://www.amazon.com/gp/customer-reviews/R2S9O0AVMLNJ8U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,功能需求
B0D8L5FG8W,,"The  MOTOR METER RACING W PRO was properly packaged and delivered safely in 2 days.

 The MOTOR METER RACING PRO Series Gauge Set delivers reliable performance with a sleek, modern aesthetic. Featuring a 110mm GPS speedometer and tachometer alongside 52mm gauges for volt, fuel level, water temperature, and oil pressure, this set is designed to meet the needs of car, boat, and truck enthusiasts alike. The white dial with red LED illumination provides excellent visibility, even in bright conditions.

Installation is straightforward, and the gauges feel well-built and responsive. The GPS speedometer is particularly impressive, offering accurate readings without the hassle of traditional speed sensor setups. Each gauge is easy to read, making it an excellent choice for both casual drivers and seasoned racers.

While the price is reasonable for the quality provided, it's essential to ensure compatibility with your vehicle before purchasing. Overall, this gauge set enhances both functionality and aesthetics, making it a worthwhile investment for anyone looking to upgrade their instrument cluster.",5,Amz Rvwr,US,2024-10-08,https://www.amazon.com/gp/customer-reviews/R174V7QHDFMFH6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B0D8L4LFCD,,"I’m really happy with these gauges! They’re easy to read and spot-on accurate, which makes keeping an eye on everything way easier. Plus, they look really sleek on my dashboard, which is a nice bonus. Installing them wasn’t too hard, and they’ve been working perfectly ever since. If you’re looking for solid gauges that look good and do the job, these are definitely worth checking out!",5,Kyle Frisbey,US,2024-10-05,https://www.amazon.com/gp/customer-reviews/R228I7NYT9ZFH6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,功能需求
B07M9MSNZQ,,The 23 T- bucket that these gauges were to in by a a professional shop call tune tech in Spokane. They don't light up. The tach doesn't work at all. I am sending them ack to you for a total refund.,1,Lynn Marion,US,2024-09-30,https://www.amazon.com/gp/customer-reviews/R3P93LRQL15V1L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,其他
B0D4DLTH8H,,"I installed this set almost three months ago and all 5 gauges are operating as they should. I wasn't too sure about a GPS Speedo gauge but it seems to be accurate and works well.

Highly Recommended.",5,Peter,US,2024-09-30,https://www.amazon.com/gp/customer-reviews/R2SAKOVDC3TAUS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,功能需求
B0D8L5FG8W,,"The best news is that these look great and will work on my custom – but these aren’t just a plug-in play set of gauges. You need the right sensors I don’t know what I’m going to do about the fuel gauge, and as others have mentioned the gauges, especially the tack are slow to respond and bounce around a bit. This leaves me in a bit of a quandary as I built a high-performance engine that I need protection for over revving and I need accurate rev readings. I still haven’t decided what to do about that and I may just keep my race style. Tack mounted to my steering column, which is what I was trying to avoid. I think these are be great for a low budget build and for the looks but just remember, you will have hassles getting these gauges to read correctly, depending on the make of your car. I applaud them for sending units that are included, but that’s not necessarily a solution to the problem.",4,Brakes,US,2024-09-28,https://www.amazon.com/gp/customer-reviews/R2X9NTU92XZMM7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,功能需求
B0D8L5FG8W,,"I was anxious for these gauges to arrive.  I was looking forward to their arrival.  I was anxious since this was an unknown brand to me, but felt that it was worth my exploration.  The gauges are beautiful.  The white background with the black hands and numbers.  The bezels are well polished and are extremely bright and attention getting.  I am impressed with this company.  I was surprised to see the quality is very nice and it is sort of a retro look.  I am planning on putting these in my 32 Ford Roadster.  The ones that I currently have installed are very problematic.  The fuel gauge decides whether or not it wants to work as well my odometer not clocking the miles correctly.  They are nice looking gauges, but not useful at tall.  So these were chosen to be the replacements for those frustrating gauges.  The wiring for the instruments is well marked and colored.  I am looking forward to getting the old gauges out and these new ones put in.  These are really nice and with what they are set the price at, they are very reasonable when compared to some different brand.  I think I'm going to enjoy these gauges and cant want to get them ready to go cruising.",5,ssuemock,US,2024-09-25,https://www.amazon.com/gp/customer-reviews/R2NF80K7Z8RQMD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B0D8L5FG8W,,"I got this gauge set from the MOTOR METER RACING Store to mount in my rat rod project. Since I'm still a few months out from getting to the dash, this review is based on my first impressions. I will come back and edit as needed. First off, this is a very nice looking gauge kit for the price. The gauges are quite attractive and easy to read. The speedometer uses a GPS antenna and internal circuitry to determine speed and mileage, a very clever feature. The tach has an hour meter. The fuel gauge sender appears to be a decent universal unit that should fit a variety of fuel tanks. I had to laugh when I read the slogan ""Mutual x Multifarious x Reliable"". Some one at Motor Meter marketing in China evidently got a new English thesaurus. Comes with a one year warranty and free lifetime technical support. I'm looking forward to installing these. Based on my experience so far, I would buy this gauge set again.",5,C Nelson,US,2024-09-23,https://www.amazon.com/gp/customer-reviews/R2MIKQXFAH1WRC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B0D4DD23WX,,I own 2 different type Gauges from this company and this set works perfectly in my Chevy Nova.  The price point is amazing compared to name brand company.  Basically 5x cheaper.  The other gauge set didn't fair so well.,5,Mr help you,US,2024-09-08,https://www.amazon.com/gp/customer-reviews/RMN4UJ252E4L9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B08NVHH1WB,,"All of the gauges seem to work fine except for the speedometer, I have tried everything including purchase of a new sensor and still does not register above 10 mph. The instructions leave much to be desired. My advice spend more upfront on a quality set, no money saved when you have to replace a brand new product!",1,Gene Figler,US,2024-08-31,https://www.amazon.com/gp/customer-reviews/RH09GDXDKBVAX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,品質信任
B0D4DLTH8H,,"I use this a lot from working on my car to using it with my son to see what’s inside trees. Just used a couple days ago on an old tree and seen giant spiders and other bugs. The picture quality is very nice. You can control the brightness which sometimes when it’s to bright it glare which is easy to turn up to down.

Really like the fact that this is rechargeable which saves a lot on having to buy batteries. I wish this had the dual cameras front and back but for the price I can’t complain. It does everything I need it to do.",5,Justin,US,2024-08-24,https://www.amazon.com/gp/customer-reviews/RYGJB24LWM49F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B081JDKD5X,,Very easy to wire up.  Install was straight forward.  Have not tried them yet.  Excellent value so far.,5,Stan,US,2024-08-21,https://www.amazon.com/gp/customer-reviews/R32VKQ2G1JMO8U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B0D4DD23WX,,Nice set of gauges. They came packed well and they all have good weight to them. I haven't installed all of them yet but so far everything is as it should be. For the price these are great,5,John Thompson,US,2024-08-08,https://www.amazon.com/gp/customer-reviews/R1GO5DNZGBWS44/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B0D4DLTH8H,,"These gauges arrive with a great presentation, in a black box, well seated and safely packed for transportation. The print work and detail inside the gauge is beautiful. The exterior is flawless with crisp chrome and clear glass. I have used several major manufacturers in the past, and have never like the installation method.  These are great, with a mechanical type, screw down bezel on the backside of your dash. So installation is very simple once you cut the hole. Simply drop in the gauge and screw down the back.  Each gauge is cleanly labeled in the rear, with very simple wiring. I rarely reward five stars, but I see no negative issues with the engineering, execution, or price of this complete set. If I had another need for gauges in an old classic car, I would order again with no hesitation.",5,Charlie Lima,US,2024-08-01,https://www.amazon.com/gp/customer-reviews/R31OKNBKLWXN5S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B0D4DD23WX,,It was easy to install this gauge set and it looks amazing in my truck everything works exactly as it's supposed to.,5,Matthew B,US,2024-07-31,https://www.amazon.com/gp/customer-reviews/RF0UTZ240QN0I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,外觀偏好
B0C8SYTGPD,,"First, they look good and work well. For now.
But, they are very cheaply made. Hence the price. The screw type clamps are horrible. If you use something like that to clamp into the dash, you must have an index notch!
Uses the small mini, mini bulb and socket. Difficult to work with.
As much as you may hate to do so, spend more and get a better gage.",2,Jimmy Z,US,2024-07-23,https://www.amazon.com/gp/customer-reviews/RW87WP0OVIGW1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,價格敏感
B0D4DD23WX,,Each gauge feels solidly built. They look good a seem pretty accurate. I would definitely buy again!,4,A Discerning I.V.,US,2024-07-19,https://www.amazon.com/gp/customer-reviews/R2X991KT239AZF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,功能需求
B0D4DD23WX,,These gauges are an inexpensive way to upgrade your project boat.  They come with the sending units that are matched to the gauges for an accurate reading.  The speedometer's speed is from a built in GPS and only requires power to operate.  They are clear and easy to read.  I really like them.,5,Kurt K.,US,2024-07-12,https://www.amazon.com/gp/customer-reviews/RWBGU8EX4166G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,功能需求
B081JDPKSV,,"** I will upload a video once I have time.**

I got these a few months ago for my Bronco, and if you have a project car you know sometimes you don't install them within 30 days of buying them.  Anyways, 4 months went by after we rebuilt the motor and installed everything else, I finally installed my new guagues.  They turned on and all seemed to work properly, until i turned on my AC, and then the fuel, oil, and water temp all failed to work properly.  They went from normal levels to empty, or no reading.  They are wired properly, I have no power problems and am getting proper voltage from my battery and alternator.  I would save your money and buy something that has been tested and from a company that responds to you when you ask for help.",1,Ryan,US,2024-07-10,https://www.amazon.com/gp/customer-reviews/RI9SG45CAJQGX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,其他
B081JDPKSV,,"Setting up gauges is generally pretty basic and easy. All the gauges work well including the fuel sending unit. However, the Tac set up is complete junk! holding the back button down for three seconds gets you into the set up. You need to know the Exact frequency output your engine is producing, then attempt to calculate what H setting you need. My signal wire is coming from the coil, and the Tac basically doesn’t work at all. The instructions are horrendous and don’t supply calculations for the H value.

Very disappointed after I drilled a hole in my dash and now I have to look for a new Tac that doesn’t match the other gauges. The entire reason I bought this set is so all my gauges would match. Super disappointing.",2,Kim Sorensen,US,2024-07-07,https://www.amazon.com/gp/customer-reviews/R2ESL75MMH4Q2P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Negative,價格敏感
B0D4DD23WX,,I've already have used a couple of this brands gauges in other vechicles and knew that they were a very good value. I decided to use this full set in a custom bezel on my old truck restoration. Couldn't be happier with the performance and how good these look. Finally there are options other than the cheap gauge sets at part stores and the overpriced high end gauges.,4,Stacy A.,US,2024-07-07,https://www.amazon.com/gp/customer-reviews/RXVO9N8NBZYIA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
B0D4DD23WX,,"I got these gauges for my cross kart I'm in the process of building.  In all honesty, I probably won't use the oil pressure gauge, but all the others for sure are going in.  I LOVE the illumination!  And installation is a breeze, but before you order, make sure you have the correct size hole saws for each gauge, because without the proper size hole saws, installation is actually not nearly as easy, you don't want to Dremel and file the holes for these, lol.  Overall, this is an excellent gauge set, for whatever you need them for.  The quality is fantastic and the price isn't so bad either.",5,letmepicyou,US,2024-07-02,https://www.amazon.com/gp/customer-reviews/R3KTD3V5ZKYZJT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Positive,價格敏感
